trade_date,phi
2020-01-02,1.0523
2020-01-03,1.068
2020-01-06,1.0789
2020-01-07,1.0787
2020-01-08,1.0929
2020-01-09,1.1161
2020-01-10,1.1346
2020-01-13,1.1209
2020-01-14,1.0955
2020-01-15,1.0843
2020-01-16,1.0722
2020-01-17,1.0708
2020-01-19,1.086
2020-01-20,1.0814
2020-01-21,1.1151
2020-01-22,1.1087
2020-01-23,1.1399
2020-02-03,1.1303
2020-02-04,1.1046
2020-02-05,1.1161
2020-02-06,1.1148
2020-02-07,1.1414
2020-02-10,1.1219
2020-02-11,1.0502
2020-02-12,1.0528
2020-02-13,1.0494
2020-02-14,0.9949
2020-02-17,0.9702
2020-02-18,0.9968
2020-02-19,0.9592
2020-02-20,0.9382
2020-02-21,0.9765
2020-02-24,0.9885
2020-02-25,0.9588
2020-02-26,0.9835
2020-02-27,0.9958
2020-02-28,1.0089
2020-03-02,0.9738
2020-03-03,0.9839
2020-03-04,1.0587
2020-03-05,1.077
2020-03-06,1.1228
2020-03-09,1.2053
2020-03-10,1.0929
2020-03-11,1.093
2020-03-12,1.0631
2020-03-13,1.0901
2020-03-16,1.1452
2020-03-17,1.1518
2020-03-18,1.1667
2020-03-19,1.1285
2020-03-20,1.1792
2020-03-23,1.2081
2020-03-24,1.2133
2020-03-25,1.2099
2020-03-26,1.2353
2020-03-27,1.2205
2020-03-30,1.2353
2020-03-31,1.2866
2020-04-01,1.3046
2020-04-02,1.2656
2020-04-03,1.2498
2020-04-07,1.2443
2020-04-08,1.247
2020-04-09,1.2091
2020-04-10,1.2071
2020-04-13,1.1816
2020-04-14,1.2183
2020-04-15,1.2169
2020-04-16,1.2748
2020-04-17,1.2535
2020-04-20,1.2542
2020-04-21,1.2597
2020-04-22,1.3021
2020-04-23,1.3435
2020-04-24,1.3571
2020-04-26,1.3468
2020-04-27,1.3482
2020-04-28,1.3746
2020-04-29,1.3897
2020-04-30,1.3815
2020-05-06,1.3388
2020-05-07,1.2836
2020-05-08,1.3163
2020-05-09,1.2928
2020-05-11,1.3094
2020-05-12,1.3528
2020-05-13,1.2955
2020-05-14,1.3052
2020-05-15,1.3273
2020-05-18,1.2937
2020-05-19,1.287
2020-05-20,1.3212
2020-05-21,1.3258
2020-05-22,1.3786
2020-05-25,1.301
2020-05-26,1.2613
2020-05-27,1.2637
2020-05-28,1.3
2020-05-29,1.2948
2020-06-01,1.2871
2020-06-02,1.2574
2020-06-03,1.2641
2020-06-04,1.2241
2020-06-05,1.2036
2020-06-08,1.226
2020-06-09,1.233
2020-06-10,1.206
2020-06-11,1.276
2020-06-12,1.271
2020-06-15,1.2033
2020-06-16,1.1709
2020-06-17,1.1472
2020-06-18,1.1605
2020-06-19,1.1271
2020-06-22,1.1119
2020-06-23,1.1271
2020-06-24,1.1659
2020-06-28,1.1818
2020-06-29,1.1801
2020-06-30,1.2275
2020-07-01,1.1899
2020-07-02,1.1767
2020-07-03,1.1277
2020-07-06,1.0567
2020-07-07,1.0579
2020-07-08,1.0105
2020-07-09,1.0088
2020-07-10,1.0838
2020-07-13,1.0853
2020-07-14,1.1396
2020-07-15,1.1894
2020-07-16,1.2194
2020-07-17,1.2246
2020-07-20,1.2341
2020-07-21,1.2536
2020-07-22,1.2486
2020-07-23,1.2013
2020-07-24,1.2144
2020-07-27,1.1865
2020-07-28,1.1342
2020-07-29,1.1171
2020-07-30,1.1222
2020-07-31,1.0921
2020-08-03,1.1243
2020-08-04,1.1544
2020-08-05,1.1333
2020-08-06,1.1009
2020-08-07,1.1058
2020-08-10,1.1433
2020-08-11,1.1294
2020-08-12,1.1216
2020-08-13,1.1241
2020-08-14,1.1427
2020-08-17,1.1446
2020-08-18,1.1115
2020-08-19,1.1161
2020-08-20,1.1347
2020-08-21,1.1439
2020-08-24,1.1469
2020-08-25,1.1341
2020-08-26,1.1206
2020-08-27,1.1018
2020-08-28,1.0844
